hue_floor,hex,L,L_r,c,h
322,#e600ff,66.46,61.05,31.44,322.78
323,#eb00ff,67.2,61.89,31.59,323.94
324,#ef00ff,67.79,62.57,31.72,324.85
325,#f400ff,68.53,63.43,31.88,325.97
326,#f800ff,69.12,64.12,32.01,326.85
327,#fd00ff,69.87,64.98,32.18,327.94
328,#ff00ff,70.17,65.33,32.25,328.36
329,#ff00fc,69.99,65.13,32.06,329.01
330,#ff00f7,69.7,64.79,31.76,330.1
331,#ff00f2,69.42,64.47,31.45,331.21
332,#ff00ee,69.2,64.21,31.21,332.11
333,#ff00ea,68.98,63.96,30.97,333.03
334,#ff00e5,68.71,63.64,30.68,334.19
335,#ff00e1,68.5,63.4,30.44,335.14
336,#ff00dd,68.29,63.16,30.21,336.11
337,#ff00d9,68.09,62.92,29.98,337.08
338,#ff00d5,67.89,62.69,29.75,338.08
339,#ff00d1,67.69,62.46,29.53,339.08
340,#ff00cd,67.5,62.24,29.31,340.11
341,#ff00c9,67.31,62.02,29.09,341.15
342,#ff00c5,67.12,61.8,28.88,342.2
343,#ff00c2,66.98,61.65,28.72,343.0
344,#ff00be,66.8,61.44,28.52,344.08
345,#ff00ba,66.63,61.24,28.31,345.18
346,#ff00b7,66.5,61.09,28.16,346.01
347,#ff00b3,66.33,60.89,27.97,347.13
348,#ff00af,66.17,60.7,27.78,348.26
349,#ff00ac,66.05,60.56,27.64,349.13
350,#ff01a9,65.94,60.44,27.49,350.01
351,#ff00a5,65.77,60.25,27.33,351.16
352,#ff00a2,65.66,60.12,27.2,352.05
353,#ff009e,65.51,59.94,27.04,353.24
354,#ff009b,65.4,59.82,26.92,354.14
355,#ff0098,65.3,59.7,26.81,355.05
356,#ff0094,65.16,59.54,26.66,356.27
357,#ff0091,65.06,59.42,26.55,357.19
358,#ff008e,64.96,59.31,26.45,358.12
359,#ff008b,64.87,59.2,26.35,359.04
